author_name,affliations,article_title,doi,volume
D. Zilli,"Research Postgraduate, University of Southampton",A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,10.1613/jair.4434,Vol. 51 (2014)
O. Parson,"Senior Data Scientist, Bulb",A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,10.1613/jair.4434,Vol. 51 (2014)
G. V. Merrett,"Professor, University of Southampton | Head of Centre for IoT and Pervasive Systems",A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,10.1613/jair.4434,Vol. 51 (2014)
A. Rogers,"Simpson/Querrey Professor, Northwestern University",A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,10.1613/jair.4434,Vol. 51 (2014)
P. Kissmann,Universit‰t des Saarlandes,BDD Ordering Heuristics for Classical Planning,10.1613/jair.4586,Vol. 51 (2014)
J. Hoffmann,"Professor of Sociology, Brigham Young University",BDD Ordering Heuristics for Classical Planning,10.1613/jair.4586,Vol. 51 (2014)
C. R. Shelton,"Professor, University of California, Riverside",Tutorial on Structured Continuous-Time Markov Processes,10.1613/jair.4415,Vol. 51 (2014)
G. Ciardo,Iowa State University,Tutorial on Structured Continuous-Time Markov Processes,10.1613/jair.4415,Vol. 51 (2014)
G. Stefanoni,Unknown affiliation,The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,10.1613/jair.4457,Vol. 51 (2014)
B. Motik,"Professor of Computer Science, Oxford University",The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,10.1613/jair.4457,Vol. 51 (2014)
M. Kroetzsch,Technische Universit‰t Dresden,The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,10.1613/jair.4457,Vol. 51 (2014)
S. Rudolph,Helmholtz-Zentrum f¸r Umweltforschung,The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,10.1613/jair.4457,Vol. 51 (2014)
O. Cepek,Norwegian University of Life Sciences (NMBU) ∑ Department of Animal and Aquacultural Sciences (IHA),On Minimum Representations of Matched Formulas,10.1613/jair.4517,Vol. 51 (2014)
S. Gursky,Unknown affiliation,On Minimum Representations of Matched Formulas,10.1613/jair.4517,Vol. 51 (2014)
P. Kucera,"PhD student of human geography, Charles University in Prague",On Minimum Representations of Matched Formulas,10.1613/jair.4517,Vol. 51 (2014)
P. Nguyen,University Paris 1 Pantheon Sorbonne & ESCP Europe,Using Meta-mining to Support Data Mining Workflow Planning and Optimization,10.1613/jair.4377,Vol. 51 (2014)
M. Hilario,University of Geneva,Using Meta-mining to Support Data Mining Workflow Planning and Optimization,10.1613/jair.4377,Vol. 51 (2014)
A. Kalousis,"University of Applied Sciences, Western Switzerland (HES-SO)",Using Meta-mining to Support Data Mining Workflow Planning and Optimization,10.1613/jair.4377,Vol. 51 (2014)
I. Kash,University of Illinois at Chicago,No Agent Left Behind: Dynamic Fair Division of Multiple Resources,10.1613/jair.4405,Vol. 51 (2014)
A. D. Procaccia,Carnegie Mellon University,No Agent Left Behind: Dynamic Fair Division of Multiple Resources,10.1613/jair.4405,Vol. 51 (2014)
N. Shah,Forschungszentrum J¸lich ∑ Institute of Neuroscience and Medicine - 4 (INM-4),No Agent Left Behind: Dynamic Fair Division of Multiple Resources,10.1613/jair.4405,Vol. 51 (2014)
D. Cohen,"W. D. Hamilton Professor of Complex Systems, Information & Public Policy, The University of Michigan",Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
J. Crampton,"Professor of Urban Data Analysis, Newcastle University",Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
A. Gagarin,"Saint Petersburg Electrotechnical University ""LETI""",Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
G. Gutin,"Professor of Computer Science, Royal Holloway, University of London",Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
M. Jones,"Researcher, MERL",Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
A. G. Cohn,"Professor of Automated Reasoning,†University of Leeds",Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,10.1613/jair.4513,Vol. 51 (2014)
S. Li,"Massachusetts Institute of Technology (MIT), Harvard University",Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,10.1613/jair.4513,Vol. 51 (2014)
W. Liu,"University of New South Wales, Sydney",Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,10.1613/jair.4513,Vol. 51 (2014)
J. Renz,"Professor,†Australian National University",Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,10.1613/jair.4513,Vol. 51 (2014)
A. Lopez-Ortiz,"Professor and Cheriton Chair, University of Waterloo",Optimal Scheduling of Contract Algorithms for Anytime Problem-Solving,10.1613/jair.4360,Vol. 51 (2014)
S. Angelopoulos,"Assistant Professor, Tilburg University",Optimal Scheduling of Contract Algorithms for Anytime Problem-Solving,10.1613/jair.4360,Vol. 51 (2014)
A. M. Hamel,University of Manitoba,Optimal Scheduling of Contract Algorithms for Anytime Problem-Solving,10.1613/jair.4360,Vol. 51 (2014)
B. de Wilde,Independent Researcher†∑†Laboratory,Push and Rotate: a Complete Multi-agent Pathfinding Algorithm,10.1613/jair.4447,Vol. 51 (2014)
A. W. ter Mors,Delft University of Technology,Push and Rotate: a Complete Multi-agent Pathfinding Algorithm,10.1613/jair.4447,Vol. 51 (2014)
C. Witteveen,"Professor of algorithmics, Delft University of Technology",Push and Rotate: a Complete Multi-agent Pathfinding Algorithm,10.1613/jair.4447,Vol. 51 (2014)
S. Cai,"Associate Professor of Mechanics, BeiHang University",Scoring Functions Based on Second Level Score for k-SAT with Long Clauses,10.1613/jair.4480,Vol. 51 (2014)
C. Luo,"Researcher, Microsoft Research Asia",Scoring Functions Based on Second Level Score for k-SAT with Long Clauses,10.1613/jair.4480,Vol. 51 (2014)
K. Su,University of Cambrige,Scoring Functions Based on Second Level Score for k-SAT with Long Clauses,10.1613/jair.4480,Vol. 51 (2014)
A. Metodi,Cadence Israel Development Center,A Novel SAT-Based Approach to Model Based Diagnosis,10.1613/jair.4503,Vol. 51 (2014)
R. Stern,University of Sheffield,A Novel SAT-Based Approach to Model Based Diagnosis,10.1613/jair.4503,Vol. 51 (2014)
M. Kalech,Ben-Gurion University,A Novel SAT-Based Approach to Model Based Diagnosis,10.1613/jair.4503,Vol. 51 (2014)
M. Codish,"Department of Computer Science, Ben-Gurion University of the Negev",A Novel SAT-Based Approach to Model Based Diagnosis,10.1613/jair.4503,Vol. 51 (2014)
F. Belardinelli,UniversitÈ d'Evry,Verification of Agent-Based Artifact Systems,10.1613/jair.4424,Vol. 51 (2014)
A. Lomuscio,Imperial College London,Verification of Agent-Based Artifact Systems,10.1613/jair.4424,Vol. 51 (2014)
F. Patrizi,"Senior Researcher, DIAG - Sapienza University of Rome",Verification of Agent-Based Artifact Systems,10.1613/jair.4424,Vol. 51 (2014)
R. Nissim,"Engineering Group Manager, Autonomous Driving Simulation, General Motors Israel",Distributed Heuristic Forward Search for Multi-agent Planning,10.1613/jair.4295,Vol. 51 (2014)
R. Brafman,"Department of Computer Science, Ben-Gurion University",Distributed Heuristic Forward Search for Multi-agent Planning,10.1613/jair.4295,Vol. 51 (2014)
C. B‰ckstrˆm,University of Minnesota Duluth,Automaton Plans,10.1613/jair.4391,Vol. 51 (2014)
A. Jonsson,Swedish Institute of Computer Science,Automaton Plans,10.1613/jair.4391,Vol. 51 (2014)
P. Jonsson,"Professor of Applied Mathematics, Malmˆ University",Automaton Plans,10.1613/jair.4391,Vol. 51 (2014)
Z. Zhuang,"Professor, College of Intelligence and Computing, Tianjin University",Entrenchment-Based Horn Contraction,10.1613/jair.4430,Vol. 51 (2014)
M. Pagnucco,"Professor, The University of New South Wales",Entrenchment-Based Horn Contraction,10.1613/jair.4430,Vol. 51 (2014)
A. Adiga,"Biocomplexity Institute & Initiative, University of Virginia",Sensitivity of Diffusion Dynamics to Network Uncertainty,10.1613/jair.4330,Vol. 51 (2014)
C. J. Kuhlman,"Network Dynamics and Simulation Science Lab, Biocomplexity Institute, Virginia Tech",Sensitivity of Diffusion Dynamics to Network Uncertainty,10.1613/jair.4330,Vol. 51 (2014)
H. S. Mortveit,Virginia Polytechnic Institute and State University | VT ∑ NDSSL & Department of Mathematics,Sensitivity of Diffusion Dynamics to Network Uncertainty,10.1613/jair.4330,Vol. 51 (2014)
A. K. S. Vullikanti,,Sensitivity of Diffusion Dynamics to Network Uncertainty,10.1613/jair.4330,Vol. 51 (2014)
Z. Feldman,"Professor of Mathematics Education, Boston University",Simple Regret Optimization in Online Planning for Markov Decision Processes,10.1613/jair.4432,Vol. 51 (2014)
C. Domshlak,"Professor, Technion",Simple Regret Optimization in Online Planning for Markov Decision Processes,10.1613/jair.4432,Vol. 51 (2014)
K. Woodsend,University of Edinburgh,Text Rewriting Improves Semantic Role Labeling,10.1613/jair.4431,Vol. 51 (2014)
M. Lapata,"School of Informatics, Edinburgh University",Text Rewriting Improves Semantic Role Labeling,10.1613/jair.4431,Vol. 51 (2014)
M. Winikoff,"Professor, Victoria University of Wellington, New Zealand",On the Testability of BDI Agent Systems,10.1613/jair.4458,Vol. 51 (2014)
S. Cranefield,"Professor of Information Science, University of Otago",On the Testability of BDI Agent Systems,10.1613/jair.4458,Vol. 51 (2014)
R. Micalizio,Universit‡ di Torino,Cooperative Monitoring to Diagnose Multiagent Plans,10.1613/jair.4339,Vol. 51 (2014)
P. Torasso,,Cooperative Monitoring to Diagnose Multiagent Plans,10.1613/jair.4339,Vol. 51 (2014)
B. Bonet,"Professor of Computer Science, Universidad SimÛn BolÌvar, Caracas, Venezuela","Belief Tracking for Planning with Sensing: Width, Complexity and Approximations",10.1613/jair.4475,Vol. 50 (2014)
H. Geffner,"ICREA & Universitat Pompeu Fabra, Artificial Intelligence and Machine Learning Group, DTIC","Belief Tracking for Planning with Sensing: Width, Complexity and Approximations",10.1613/jair.4475,Vol. 50 (2014)
Y. Zick,National University of Singapore,Arbitration and Stability in Cooperative Games with Overlapping Coalitions,10.1613/jair.4237,Vol. 50 (2014)
E. Markakis,Athens University of Economics and Business,Arbitration and Stability in Cooperative Games with Overlapping Coalitions,10.1613/jair.4237,Vol. 50 (2014)
E. Elkind,University of Oxford,Arbitration and Stability in Cooperative Games with Overlapping Coalitions,10.1613/jair.4237,Vol. 50 (2014)
U. Thayasivam,"Senior Lecturer Department of Computer Science and Engineering, University of Moratuwa",Speeding Up Iterative Ontology Alignment using Block-Coordinate Descent,10.1613/jair.4366,Vol. 50 (2014)
P. Doshi,"National Chemical Laboratory, Pune, India",Speeding Up Iterative Ontology Alignment using Block-Coordinate Descent,10.1613/jair.4366,Vol. 50 (2014)
A. Veit,,Demand Side Energy Management via Multiagent Coordination in Consumer Cooperatives,10.1613/jair.4416,Vol. 50 (2014)
Y. Xu,Chinese Academy of Sciences | CAS,Demand Side Energy Management via Multiagent Coordination in Consumer Cooperatives,10.1613/jair.4416,Vol. 50 (2014)
R. Zheng,"Computing and Software, McMaster University; Computer Science, University of Houston",Demand Side Energy Management via Multiagent Coordination in Consumer Cooperatives,10.1613/jair.4416,Vol. 50 (2014)
N. Chakraborty,"Department of Mechanical Engineering, Stony Brook University",Demand Side Energy Management via Multiagent Coordination in Consumer Cooperatives,10.1613/jair.4416,Vol. 50 (2014)
K. Sycara,"Professor School of Computer Science, Carnegie Mellon University",Demand Side Energy Management via Multiagent Coordination in Consumer Cooperatives,10.1613/jair.4416,Vol. 50 (2014)
A. M. S. Barreto,,Policy Iteration Based on Stochastic Factorization,10.1613/jair.4301,Vol. 50 (2014)
J. Pineau,"School of Computer Science, McGill University",Policy Iteration Based on Stochastic Factorization,10.1613/jair.4301,Vol. 50 (2014)
D. Precup,DeepMind and McGill University,Policy Iteration Based on Stochastic Factorization,10.1613/jair.4301,Vol. 50 (2014)
S. Kiritchenko,National Research Council Canada,Sentiment Analysis of Short Informal Texts,10.1613/jair.4272,Vol. 50 (2014)
X. Zhu,"Associate Professor of Health Management and Policy, University of Iowa",Sentiment Analysis of Short Informal Texts,10.1613/jair.4272,Vol. 50 (2014)
S. M. Mohammad,"Senior Research Scientist, National Research Council Canada",Sentiment Analysis of Short Informal Texts,10.1613/jair.4272,Vol. 50 (2014)
D. Bergman,University of Connecticut,MDD Propagation for Sequence Constraints,10.1613/jair.4199,Vol. 50 (2014)
A. A. Cire,"Assistant Professor, University of Toronto Scarborough and Rotman School of Management",MDD Propagation for Sequence Constraints,10.1613/jair.4199,Vol. 50 (2014)
W. van Hoeve,Tide Microfluidics,MDD Propagation for Sequence Constraints,10.1613/jair.4199,Vol. 50 (2014)
A. Gerevini,Universit‡ degli Studi di Brescia,Planning through Automatic Portfolio Configuration: The PbP Approach,10.1613/jair.4359,Vol. 50 (2014)
A. Saetti,Universit‡ degli Studi di Brescia | UNIBS,Planning through Automatic Portfolio Configuration: The PbP Approach,10.1613/jair.4359,Vol. 50 (2014)
M. Vallati,"Senior Lecturer, University of Huddersfield",Planning through Automatic Portfolio Configuration: The PbP Approach,10.1613/jair.4359,Vol. 50 (2014)
D. D. Maua,"Professor, Dept. of Computer Science, Institute of Mathematics and Statistics, Universidade de S„o",Probabilistic Inference in Credal Networks: New Complexity Results,10.1613/jair.435,Vol. 50 (2014)
C. P. de Campos,Eindhoven University of Technology,Probabilistic Inference in Credal Networks: New Complexity Results,10.1613/jair.435,Vol. 50 (2014)
A. Benavoli,"Senior Lecturer, CSIS, University of Limerick",Probabilistic Inference in Credal Networks: New Complexity Results,10.1613/jair.435,Vol. 50 (2014)
A. Antonucci,EPFL,Probabilistic Inference in Credal Networks: New Complexity Results,10.1613/jair.435,Vol. 50 (2014)
A. Rey,Professor of Physical Chemistry,False-Name Manipulation in Weighted Voting Games is Hard for Probabilistic Polynomial Time,10.1613/jair.4293,Vol. 50 (2014)
J. Rothe,"Professor of Computer Science, Heinrich-Heine-Universit‰t D¸sseldorf",False-Name Manipulation in Weighted Voting Games is Hard for Probabilistic Polynomial Time,10.1613/jair.4293,Vol. 50 (2014)
E. Keyder,"Postdoctoral researcher, INRIA",Improving Delete Relaxation Heuristics Through Explicitly Represented Conjunctions,10.1613/jair.4277,Vol. 50 (2014)
J. Hoffmann,"Professor of Computer Science, Saarland Informatics Campus, Saarland University, Saarbruecken",Improving Delete Relaxation Heuristics Through Explicitly Represented Conjunctions,10.1613/jair.4277,Vol. 50 (2014)
P. Haslum,Unknown affiliation,Improving Delete Relaxation Heuristics Through Explicitly Represented Conjunctions,10.1613/jair.4277,Vol. 50 (2014)
D. Terekhov,"Assistant Professor, Industrial Engineering, Concordia University",Integrating Queueing Theory and Scheduling for Dynamic Scheduling Problems,10.1613/jair.4278,Vol. 50 (2014)
T. T. Tran,"University of Massachusetts, Amherst. Twitter, Inc. LinkedIn",Integrating Queueing Theory and Scheduling for Dynamic Scheduling Problems,10.1613/jair.4278,Vol. 50 (2014)
D. G. Down,McMaster University,Integrating Queueing Theory and Scheduling for Dynamic Scheduling Problems,10.1613/jair.4278,Vol. 50 (2014)
J.C. Beck,"Professor of Mechanical and Industrial Engineering, University of Toronto",Integrating Queueing Theory and Scheduling for Dynamic Scheduling Problems,10.1613/jair.4278,Vol. 50 (2014)
M. Cooper,"Professor of Physics & Astronomy, University of California Irvine","Monotone Temporal Planning: Tractability, Extensions and Applications",10.1613/jair.4358,Vol. 50 (2014)
F. Maris,"Associate Professor of Computer Science, University of Toulouse","Monotone Temporal Planning: Tractability, Extensions and Applications",10.1613/jair.4358,Vol. 50 (2014)
P. RÈgnier,ULB,"Monotone Temporal Planning: Tractability, Extensions and Applications",10.1613/jair.4358,Vol. 50 (2014)
R. Bredereck,TU Berlin,A Multivariate Complexity Analysis of Lobbying in Multiple Referenda,10.1613/jair.4285,Vol. 50 (2014)
J. Chen,"Prof. of Computer Science, Queens College",A Multivariate Complexity Analysis of Lobbying in Multiple Referenda,10.1613/jair.4285,Vol. 50 (2014)
S. Hartung,University of Hamburg,A Multivariate Complexity Analysis of Lobbying in Multiple Referenda,10.1613/jair.4285,Vol. 50 (2014)
S. Kratsch,Professor at Humboldt University Berlin,A Multivariate Complexity Analysis of Lobbying in Multiple Referenda,10.1613/jair.4285,Vol. 50 (2014)
R. Niedermeier,"Professor of Theoretical Computer Science, TU Berlin",A Multivariate Complexity Analysis of Lobbying in Multiple Referenda,10.1613/jair.4285,Vol. 50 (2014)
O. Suchy,"Assistant Professor of Theoretical Computer Science, Czech Technical University",A Multivariate Complexity Analysis of Lobbying in Multiple Referenda,10.1613/jair.4285,Vol. 50 (2014)
G. J. Woeginger,"Professor of Computer Science, RWTH Aachen",A Multivariate Complexity Analysis of Lobbying in Multiple Referenda,10.1613/jair.4285,Vol. 50 (2014)
J.R. Doppa,"George and Joan Berry Chair Assistant Professor, Computer Science, Washington State University",HC-Search: A Learning Framework for Search-based Structured Prediction,10.1613/jair.4212,Vol. 50 (2014)
A. Fern,Oregon State University,HC-Search: A Learning Framework for Search-based Structured Prediction,10.1613/jair.4212,Vol. 50 (2014)
P. Tadepalli,"Professor of Computer Science, Oregon State University",HC-Search: A Learning Framework for Search-based Structured Prediction,10.1613/jair.4212,Vol. 50 (2014)
F.M. Delle Fave,Mind Foundry ltd.,Game-Theoretic Patrolling with Dynamic Execution Uncertainty and a Case Study on a Real Transit System,10.1613/jair.4317,Vol. 50 (2014)
A.X. Jiang,"Assistant Professor of Computer Science, Trinity University",Game-Theoretic Patrolling with Dynamic Execution Uncertainty and a Case Study on a Real Transit System,10.1613/jair.4317,Vol. 50 (2014)
